rank,release_date,title,url,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,runtime,graph,status
416,18-06-2010,Toy Story 3,/movie/Toy-Story-3#tab=summary,200000000,415004880,1068879522,110307189,G,Adventure,4028,102,,PROFIT
417,01-07-2009,Public Enemies,/movie/Public-Enemies-(2009)#tab=summary,102500000,97104620,212282709,25271675,R,Drama,3336,140,,PROFIT
418,01-06-2022,Jurassic World: Dominion,/movie/Jurassic-World-Dominion-(2022)#tab=summary,165000000,376009080,1001188755,145075625,PG-13,Action,4697,146,,PROFIT
419,20-07-2016,Jason Bourne,/movie/Jason-Bourne#tab=summary,120000000,162192920,416168316,59215365,PG-13,Action,4039,123,,PROFIT
420,06-03-2009,Watchmen,/movie/Watchmen#tab=summary,138000000,107509799,186976250,55214334,R,Action,3611,161,,PROFIT
421,04-03-2010,Alice in Wonderland,/movie/Alice-in-Wonderland-(2010)#tab=summary,200000000,334191110,1025491110,116101023,PG,Adventure,3739,108,,PROFIT
422,11-04-2012,Battleship,/movie/Battleship#tab=summary,220000000,65233400,313477717,25534825,PG-13,Action,3702,130,,PROFIT
423,01-07-2010,The Last Airbender,/movie/Last-Airbender-The#tab=summary,150000000,131772187,319713881,40325019,PG,Adventure,3203,103,,PROFIT
424,07-03-2012,John Carter,/movie/John-Carter-of-Mars#tab=summary,263700000,73058679,282778100,30180188,PG-13,Adventure,3749,132,,PROFIT
425,18-11-2011,Happy Feet Two,/movie/Happy-Feet-2#tab=summary,135000000,64006466,157956466,21237068,PG,Adventure,3611,99,,PROFIT
426,25-12-2008,The Curious Case of Benjamin Button,/movie/Curious-Case-of-Benjamin-Button-The#tab=summary,160000000,127509326,329631958,26853816,PG-13,Drama,2988,167,,PROFIT
427,17-05-2013,Fast and Furious 6,/movie/Fast-and-Furious-6#tab=summary,160000000,238679850,789300444,97375245,PG-13,Action,3771,130,,PROFIT
428,03-02-2021,Chaos Walking,/movie/Chaos-Walking#tab=summary,100000000,13287908,27075660,3775350,PG-13,Action,2132,108,,LOSS
429,27-03-2019,Dumbo,/movie/Dumbo-(2019)#tab=summary,170000000,114766307,353166307,45990748,PG,Adventure,4259,130,,PROFIT
430,16-12-2011,Sherlock Holmes: A Game of Shadows,/movie/Sherlock-Holmes-A-Game-of-Shadows-(2011)#tab=summary,125000000,186848418,535663443,39637079,PG-13,Action,3703,129,,PROFIT
431,11-07-2007,Harry Potter and the Order of the Phoenix,/movie/Harry-Potter-and-the-Order-of-the-Phoenix#tab=summary,150000000,292137260,939619849,77108414,PG-13,Adventure,4285,138,,PROFIT
432,25-11-2009,The Princess and the Frog,/movie/Princess-and-the-Frog-The#tab=summary,105000000,104400899,270997378,786190,G,Adventure,3475,97,,PROFIT
433,25-04-2012,The Avengers,/movie/Avengers-The-(2012)#tab=summary,225000000,623357910,1515100211,207438708,PG-13,Action,4349,143,,PROFIT
434,21-06-2012,Brave,/movie/Brave#tab=summary,185000000,237282182,554606532,66323594,PG,Adventure,4164,93,,PROFIT
435,11-05-2018,Deadpool 2,/movie/Deadpool-2#tab=summary,110000000,324591735,786362370,125507153,R,Action,4349,119,,PROFIT
436,28-07-2021,The Suicide Squad,/movie/Suicide-Squad-The-(2021)#tab=summary,185000000,55817425,167120232,26205415,R,Action,4019,132,,LOSS
437,17-12-2010,Tron: Legacy,/movie/Tron-Legacy#tab=summary,200000000,172062763,399866199,44026211,PG,Adventure,3451,125,,PROFIT
438,07-11-1997,Starship Troopers,/movie/Starship-Troopers#tab=summary,105000000,54768952,121100000,22058773,R,Action,2971,129,,PROFIT
439,19-07-2002,Stuart Little 2,/movie/Stuart-Little-2#tab=summary,120000000,64956806,166000000,15115152,PG,Adventure,3282,77,,PROFIT
440,15-06-2018,Incredibles 2,/movie/Incredibles-2#tab=summary,200000000,608581744,1242805359,182687905,PG,Adventure,4413,118,,PROFIT
441,09-06-2015,Jurassic World,/movie/Jurassic-World#tab=summary,215000000,652306625,1669979967,208806270,PG-13,Action,4291,124,,PROFIT
442,21-11-2012,Life of Pi,/movie/Life-of-Pi#tab=summary,120000000,124987022,619310368,22451514,PG,Drama,2946,125,,PROFIT
443,23-07-2014,Hercules,/movie/Hercules-(2014)#tab=summary,100000000,72688614,243388614,29800263,PG-13,Adventure,3595,97,,PROFIT
444,25-09-2015,Pan,/movie/Pan-(2015)#tab=summary,150000000,35088320,151525973,15315435,PG,Adventure,3515,111,,PROFIT
445,10-07-1998,Lethal Weapon 4,/movie/Lethal-Weapon-4#tab=summary,140000000,130444603,285400000,34048124,R,Action,3117,127,,PROFIT
446,17-12-1999,Stuart Little,/movie/Stuart-Little#tab=summary,105000000,140015224,298815224,15018223,PG,Adventure,3151,92,,PROFIT
447,18-02-2005,Son of the Mask,/movie/Son-of-the-Mask#tab=summary,100000000,17018422,59918422,7511675,PG,Adventure,2966,94,,LOSS
448,21-05-2014,X-Men: Days of Future Past,/movie/X-Men-Days-of-Future-Past#tab=summary,200000000,233921534,747862775,90823660,PG-13,Action,4001,131,,PROFIT
449,16-12-2015,Star Wars Ep. VII: The Force Awakens,/movie/Star-Wars-Ep-VII-The-Force-Awakens#tab=summary,306000000,936662225,2064615817,247966675,PG-13,Adventure,4134,136,,PROFIT
450,24-11-2021,Encanto,/movie/Encanto-(2021)#tab=summary,150000000,96093622,230873149,27206494,PG,Adventure,3980,109,,PROFIT
451,05-05-2006,Mission: Impossible III,/movie/Mission-Impossible-III#tab=summary,150000000,133501348,399387745,47743273,PG-13,Action,4059,126,,PROFIT
452,27-07-2001,Planet of the Apes,/movie/Planet-of-the-Apes-(2001)#tab=summary,100000000,180011740,362211740,68532960,PG-13,Adventure,3530,120,,PROFIT
453,02-10-2018,Venom,/movie/Venom-(2018)#tab=summary,116000000,213511408,856081053,80255756,PG-13,Action,4250,112,,PROFIT
454,08-08-2014,Teenage Mutant Ninja Turtles,/movie/Teenage-Mutant-Ninja-Turtles-(2014)#tab=summary,125000000,191204754,485004754,65575105,PG-13,Adventure,3980,101,,PROFIT
455,20-11-2019,Frozen II,/movie/Frozen-II-(2019)#tab=summary,150000000,477373578,1445182280,130263358,PG,Adventure,4440,103,,PROFIT
456,04-03-2011,Rango,/movie/Rango#tab=summary,135000000,123477607,245724600,38079323,PG,Adventure,3923,107,,PROFIT
457,29-12-2016,Monster Trucks,/movie/Monster-Trucks#tab=summary,125000000,33370166,61642798,10950705,PG-13,Adventure,3119,104,,LOSS
458,18-05-2016,X-Men: Apocalypse,/movie/X-Men-Apocalypse-(2016)#tab=summary,178000000,155442489,542537546,65769562,PG-13,Action,4153,136,,PROFIT
459,06-03-2019,Captain Marvel,/movie/Captain-Marvel-(2019)#tab=summary,175000000,426829839,1129727388,153433423,PG-13,Action,4310,124,,PROFIT
460,14-06-2002,Windtalkers,/movie/Windtalkers#tab=summary,115000000,40914068,77628265,14520412,R,Action,2898,134,,LOSS
461,09-05-2008,Speed Racer,/movie/Speed-Racer#tab=summary,120000000,43945766,93394462,18561337,PG,Action,3606,135,,LOSS
462,28-07-2021,Jungle Cruise,/movie/Jungle-Cruise-(2021)#tab=summary,200000000,116987516,210384144,35018731,PG-13,Adventure,4310,90,,PROFIT
463,16-08-2002,The Adventures of Pluto Nash,/movie/Adventures-of-Pluto-Nash-The#tab=summary,100000000,4411102,7094995,2182900,PG-13,Comedy,2320,NA,,
464,26-11-2015,In the Heart of the Sea,/movie/In-the-Heart-of-the-Sea#tab=summary,100000000,25020758,89693309,11053366,PG-13,Adventure,3103,121,,LOSS
465,09-12-2020,The Midnight Sky,/movie/Midnight-Sky-The-(2020)#tab=summary,100000000,0,75615,NA,PG-13,Adventure,NA,118,,
466,12-06-2020,Artemis Fowl,/movie/Artemis-Fowl-(2020)#tab=summary,100000000,0,0,NA,PG,Adventure,NA,115,,
467,01-08-2008,The Mummy: Tomb of the Dragon Emperor,/movie/Mummy-Tomb-of-the-Dragon-Emperor-The#tab=summary,175000000,102491776,405760225,40457770,PG-13,Adventure,3778,111,,PROFIT
468,15-03-2013,The Croods,/movie/Croods-The#tab=summary,135000000,187168425,573068425,43639736,PG,Adventure,4065,98,,PROFIT
469,24-11-2010,Tangled,/movie/Tangled#tab=summary,260000000,200821936,583777242,48767052,PG,Musical,3603,101,,PROFIT
